startTime,endTime,speciesName,confidence,mediaID,recorderID,deploymentGroups,projectName,latitude,longitude,deploymentStart,deploymentEnd
27.0,30.0,Ciccaba virgata,0.1056,G6398_20240212_040000.WAV,G6398,season t1,GEOPARK_PUTUMAYO_2024,0.48036,-76.32004,2024-02-08,2024-02-26
21.0,24.0,Psarocolius decumanus,0.2182,G6467_20240229_160000.WAV,G6467,season t1,GEOPARK_PUTUMAYO_2024,0.504661,-76.324227,2024-02-12,2024-03-02
21.0,24.0,Odontophorus gujanensis,0.1187,G6376_20240214_190000.WAV,G6376,season t1,GEOPARK_PUTUMAYO_2024,0.481171,-76.322907,2024-02-08,2024-03-02
42.0,45.0,Tinamus major,0.1057,G6469_20240228_190000.WAV,G6469,season t1,GEOPARK_PUTUMAYO_2024,0.498802,-76.324496,2024-02-13,2024-03-02
45.0,48.0,Ciccaba virgata,0.1151,G6442_20240209_010000.WAV,G6442,season t1,GEOPARK_PUTUMAYO_2024,0.481959,-76.319523,2024-02-08,2024-03-02
45.0,48.0,Tinamus major,0.1233,G6455_20240211_213000.WAV,G6455,season t1,GEOPARK_PUTUMAYO_2024,0.46971,-76.3285,2024-02-07,2024-03-02
36.0,39.0,Zebrilus undulatus,0.1654,G6383_20240229_210000.WAV,G6383,season t1,GEOPARK_PUTUMAYO_2024,0.496405,-76.325589,2024-02-11,2024-03-03
6.0,9.0,Neopelma chrysocephalum,0.1068,G6406_20240208_163000.WAV,G6406,season t1,GEOPARK_PUTUMAYO_2024,0.484945,-76.321513,2024-02-08,2024-03-02
9.0,12.0,Glaucidium brasilianum,0.5554,G7276_20240222_190000.WAV,G7276,season t1,GEOPARK_PUTUMAYO_2024,0.496634,-76.327401,2024-02-11,2024-03-03
30.0,33.0,Heliomaster longirostris,0.601,G6406_20240208_190000.WAV,G6406,season t1,GEOPARK_PUTUMAYO_2024,0.484945,-76.321513,2024-02-08,2024-03-02
9.0,12.0,Lophostrix cristata,0.1028,G6469_20240225_023000.WAV,G6469,season t1,GEOPARK_PUTUMAYO_2024,0.498802,-76.324496,2024-02-13,2024-03-02
42.0,45.0,Anhima cornuta,0.9992,G6384_20240208_170000.WAV,G6384,season t1,GEOPARK_PUTUMAYO_2024,0.466205,-76.322577,2024-02-07,2024-03-02
27.0,30.0,Nothocrax urumutum,0.153,G6419_20240221_003000.WAV,G6419,season t1,GEOPARK_PUTUMAYO_2024,0.489046,-76.32233,2024-02-09,2024-03-02
